query_type,query,recognised_keyword_features,rank,title,organisation,description_preview,dataset_url,semantic_score,semantic_ratio_to_best,keyword_score,keyword_ratio_to_best,hybrid_score,passes_strict_rule,passes_balanced_rule,passes_permissive_rule
narrow,hospital waiting times,4,20,Hospital Emergency Departments - Delivering Services to Patients,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-17970-hospital-emergency-departments---delivering-services-to-patients,0.35377442836761475,0.6749178036115241,0.04980751499533653,0.13052842693936023,0.012335526315789472,True,True,True
narrow,hospital waiting times,4,30,Hospital Emergency Departments - Planning Statewide Services,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-17951-hospital-emergency-departments---planning-statewide-services,0.3367879390716553,0.6425116059685824,0.05672292038798332,0.14865133444909384,0.011730438236462333,True,True,True
narrow,hospital waiting times,4,40,Ambulance Service of NSW - Readiness to Respond,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-17978-ambulance-service-of-nsw---readiness-to-respond,0.3126717209815979,0.5965035747497607,0.0,0.0,0.007368421052631579,True,True,True
narrow,hospital waiting times,4,50,NSW Ambulance Station - NSW Features of Interest Category - Health Facilities - GDA2020 Service,Spatial Services (DCS),"Export Data Access API NEW We have released a new GDA2020 version of this dataset which replaces the current GDA94 version. This updated service aligns our spatial data with the national standard, improving accuracy, consistency, and…",https://data.nsw.gov.au/data/dataset/1-868edf87b02f47f5a8525682d9ac0ea9,0.29958266019821167,0.5715327474459819,0.0,0.0,0.00673076923076923,False,True,True
narrow,hospital waiting times,4,75,Gunnedah Shire Council Extraordinary Meeting Minutes - 4 December 2019,NSW Government,Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-19429-gunnedah-shire-council-extraordinary-meeting-minutes---4-december-2019,0.2916814684867859,0.556459145375886,0.0,0.0,0.005511811023622047,False,True,True
narrow,hospital waiting times,4,100,Gunnedah Shire Council Ordinary Meeting Minutes - 20 May 2020,NSW Government,Meeting Minutes,https://data.nsw.gov.au/data/dataset/3-19482-gunnedah-shire-council-ordinary-meeting-minutes---20-may-2020,0.2888699769973755,0.5510954856290216,0.0,0.0,0.004697986577181208,False,True,True
narrow,hospital waiting times,4,150,North Coast Area Health Service Annual Report 2006/2007,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-10989-north-coast-area-health-service-annual-report-2006-2007,0.28075286746025085,0.5356099634963206,0.0,0.0,0.003608247422680412,False,True,True
narrow,hospital waiting times,4,200,NSW Features of Interest Category - Health Facilities,Spatial Services (DCS),"Export Data Access API RETIRING This GD94 service is scheduled for retirement. Please begin transitioning to the GDA2020 service and update any maps, applications, or workflows that currently reference this service. You can access the…",https://data.nsw.gov.au/data/dataset/1-e63b018e728d466d83d32b196def0401,0.1571536362171173,0.29981190973759697,0.0077342689037323,0.020268868134150245,0.002918316812348167,False,False,False
narrow,hospital waiting times,4,300,Greater Southern Area Health Service Annual Report 2004 | 05,NSW Government,No notes provided,https://data.nsw.gov.au/data/dataset/3-9804-greater-southern-area-health-service-annual-report-2004---05,0.25113147497177124,0.479099363647466,0.0,0.0,0.0022292993630573248,False,True,True
narrow,hospital waiting times,4,500,“Flip flop” O’Farrell out of touch on health reform: Treasurer Roozendaal,NSW Government,Treasury media release 2010,https://data.nsw.gov.au/data/dataset/3-19942--flip-flop--o-farrell-out-of-touch-on-health-reform--treasurer-roozendaal,0.2214074283838272,0.4223929240945889,0.0,0.0,0.0015350877192982456,False,False,True
narrow,hospital waiting times,4,750,Court House - NSW Features of Interests Category - Justice Facilities - GDA2020 Service,Spatial Services (DCS),"Export Data Access API NEW We have released a new GDA2020 version of this dataset which replaces the current GDA94 version. This updated service aligns our spatial data with the national standard, improving accuracy, consistency, and…",https://data.nsw.gov.au/data/dataset/1-c9d1ec28c3ac4a909c78815d3c1ab8d6,0.18312159180641174,0.34935261744639806,0.0,0.0,0.001023391812865497,False,False,False
narrow,hospital waiting times,4,1000,NSW Health Annual Report 2017-18,NSW Government,"The Annual Report outlines the functions and activities of NSW Health over the 2017-18 financial year. The report includes performance and achievements of all local health districts, specialty networks and other controlled entities that…",https://data.nsw.gov.au/data/dataset/3-17381-nsw-health-annual-report-2017-18,0.15527690947055817,0.2962315596834362,0.0,0.0,0.0007430997876857749,False,False,False
narrow,water quality monitoring,5,1,Hunter Water Corporation – Surface Water Quality Monitoring Programs,Hunter Water,"Hunter Water carries out routine and event-based monitoring on local freshwater and estuarine waterways in our area of operations (Hunter Region), for a variety of purposes. The waterways are typically either source water supplies feeding…",https://data.nsw.gov.au/data/dataset/hunter-water-corporation-surface-water-quality-monitoring-programs,0.6284847855567932,0.9382716060368446,0.29270926117897034,1.0,0.015855532786885243,True,True,True
narrow,water quality monitoring,5,5,RAW Water Quality Data,"NSW Department of Climate Change, Energy, the Environment and Water","The RAW Water Quality Data is collected under The State Water Quality Assessment and Monitoring Project (SWAMP). The State Water Quality Assessment and Monitoring Project (SWAMP) is a state wide project responsible for collecting, analysing…",https://data.nsw.gov.au/data/dataset/raw-water-quality-data,0.6407057642936707,0.9565164348860163,0.19008803367614746,0.649409017365947,0.015277777777777776,True,True,True
narrow,water quality monitoring,5,10,Sydney Water Aquatic Monitoring (SWAM) program,Sydney Water,"The Sydney Water Aquatic Monitoring (SWAM) program was implemented from July 2023, replacing the Sewage Treatment System Impact Monitoring Program (STSIMP, 2008-2023) after a review in collaboration with the EPA. The SWAM program is…",https://data.nsw.gov.au/data/dataset/sydney-water-aquatic-monitoring-swam-program,0.5799115896224976,0.865756166352433,0.12090075016021729,0.4130403994504817,0.013554018445322792,True,True,True
narrow,water quality monitoring,5,20,IMEF (Integrated Monitoring of Environmental Flows),"NSW Department of Climate Change, Energy, the Environment and Water",The Integrated Monitoring of Environmental Flows (IMEF) program consists of ecological monitoring projects across the regulated rivers of NSW. IMEF was set up to monitor environmental flow effects and included projects such as the effect of…,https://data.nsw.gov.au/data/dataset/historic-environmental-flow-monitoring-imef,0.5168722867965698,0.7716441221706073,0.10025672614574432,0.34251299648645095,0.01176239181746656,True,True,True
narrow,water quality monitoring,5,30,Water Quality - Murray Darling Basin,Water New South Wales (WNSW),"Water quality data collected monthly from 115 sites in the Murray-Darling Basin in NSW, between 2007 and 2012. Parameters include: Turbidity –lab; Turbidity –field; Total phosphorus; Total nitrogen; pH –field; Dissolved oxygen –field…",https://data.nsw.gov.au/data/dataset/water-quality-murray-darling-basin,0.4684465229511261,0.6993487854162388,0.1692989021539688,0.5783858750217503,0.010826796965410826,True,True,True
narrow,water quality monitoring,5,40,Darling-Baaka River Health Project smart buoy network,"NSW Department of Climate Change, Energy, the Environment and Water","Through the Darling-Baaka River Health Project, DCCEEW Science have installed a network of five telemetered loggers in the Baaka river which are collecting real-time water quality data in the project area. The telemetered loggers (also…",https://data.nsw.gov.au/data/dataset/darling-baaka-river-health-project-live-smart-buoy-data,0.5214341878890991,0.77845463272398,0.0264769084751606,0.09045463190511045,0.009519230769230768,True,True,True
narrow,water quality monitoring,5,50,Water Regulations Data (BoM) - Watercourse Level,Bureau of Meteorology,"The Bureau of Meteorology (Bureau) receives water data, measured at stations around Australia, from organisations named in the Water Regulations (2008). Time series data collected from approximately 6500 measurement stations across…",https://data.nsw.gov.au/data/dataset/water-regulations-data-bom-watercourse-level,0.4608836770057678,0.6880581324451028,0.06930039077997208,0.23675503296631242,0.008858695652173912,True,True,True
narrow,water quality monitoring,5,75,ENVIRONMENTAL OUTCOMES MONITORING AND RESEARCH PROGRAM,"NSW Department of Climate Change, Energy, the Environment and Water",The department employs monitoring and research initiatives to track the effectiveness of water management changes in safeguarding and enhancing water-dependent ecosystems. We are tasked with reporting on environmental outcomes in New South…,https://data.nsw.gov.au/data/dataset/environmental-outcomes-monitoring-and-research-program,0.4399687349796295,0.6568339935383083,0.05999363213777542,0.20495980173682887,0.007402697921273772,True,True,True
narrow,water quality monitoring,5,100,NSW Water Dashboards-Annual Environmental Shares Summary,"NSW Department of Climate Change, Energy, the Environment and Water",Data by water source and water year. This Dashboard _(see the External Links section in SEED)_ provides a summary of environmental water shares held across NSW and within each water source for each water year and compares environmental…,https://data.nsw.gov.au/data/dataset/nsw-water-dashboards-annual-environmental-shares,0.4259592890739441,0.6359191430730444,0.03440803661942482,0.11755021512075362,0.005879088939385932,True,True,True
narrow,water quality monitoring,5,150,Manning River Floodplain Prioritisation Study,Department of Primary Industries and Regional Development (DPIRD),The Coastal Floodplain Prioritisation Study covered seven estuaries on the NSW floodplain. The study included an extensive data collection and collation process to improve understanding of the processes and areas that contribute to poor…,https://data.nsw.gov.au/data/dataset/manning-river-floodplain-prioritisation-study,0.4097147583961487,0.6116675108320718,0.014197072945535183,0.04850230186893441,0.004409518291237588,True,True,True
