query_type,query,rank_from,rank_to,results_in_bucket,semantic_score_max,semantic_score_mean,semantic_score_median,semantic_score_min,semantic_ratio_mean,semantic_ratio_median,keyword_score_max,keyword_score_mean,keyword_score_median,keyword_score_min,keyword_ratio_mean,keyword_ratio_median,strict_retained,balanced_retained,permissive_retained
narrow,koala habitat corridors,201,300,100,0.35209769010543823,0.32230980157852174,0.3356070965528488,0.20607425272464752,0.4189540723867964,0.43623854792535866,0.05858117341995239,0.00900267154444009,0.0,0.0,0.030238045918923512,0.0,14,76,99
narrow,koala habitat corridors,301,500,200,0.3307444453239441,0.2919763529673219,0.3115581274032593,0.11653009802103043,0.3795251696262895,0.40497851949128577,0.03455229103565216,0.0030172295379452406,0.0,0.0,0.01013422791956305,0.0,0,127,149
narrow,koala habitat corridors,501,750,250,0.3059725761413574,0.2667489928305149,0.2913360446691513,0.1020188182592392,0.3467334108491096,0.37869286552697945,0.011342495679855347,0.0010129458657465876,0.0,0.0,0.0034022682545544326,0.0,0,0,189
narrow,koala habitat corridors,751,1000,250,0.28423160314559937,0.2715054152905941,0.2759716510772705,0.05060849338769913,0.35291604181435726,0.358721473923166,0.001810828223824501,4.228986892849207e-05,0.0,0.0,0.0001420426139343875,0.0,0,0,232
narrow,hospital waiting times,1,10,10,0.5241740942001343,0.44183644354343415,0.4503346383571625,0.36149832606315613,0.8429192675339219,0.859131810098995,0.38158366084098816,0.12109650820493698,0.06418352946639061,0.06354711204767227,0.31735244621860204,0.16820303396883884,10,10,10
narrow,hospital waiting times,11,25,15,0.4395979642868042,0.3549515724182129,0.3401852250099182,0.3306627869606018,0.6771635156061132,0.6489928227548623,0.09162742644548416,0.06552862959603468,0.07741821557283401,0.016248850151896477,0.17172808042045984,0.2028866105068775,15,15,15
narrow,hospital waiting times,26,50,25,0.4023399353027344,0.31418602585792543,0.30454015731811523,0.2782818078994751,0.5993925097297281,0.5809904775680103,0.11672089248895645,0.03357564225792885,0.029180139303207397,0.0,0.0879902514272495,0.07647114459486046,19,25,25
narrow,hospital waiting times,51,100,50,0.2987635135650635,0.2849499416351318,0.2910313457250595,0.1943606734275818,0.5436169867760299,0.5552188651542577,0.0867801234126091,0.00894382931292057,0.0,0.0,0.023438711430172066,0.0,0,47,50
narrow,hospital waiting times,101,200,100,0.28863853216171265,0.2628432358056307,0.277909517288208,0.09951454401016235,0.5014426289164814,0.5301855249300049,0.0557112842798233,0.0039810616103932266,0.0,0.0,0.010432998104843374,0.0,0,83,88
narrow,hospital waiting times,201,300,100,0.27446243166923523,0.21638312606140972,0.26681962609291077,-0.10450383275747299,0.41280774547166527,0.50902863961651,0.013143529184162617,0.001891175345517695,0.0,0.0,0.004956122443371015,0.0,0,75,76
narrow,hospital waiting times,301,500,200,0.25106045603752136,0.1727104134717956,0.22772853076457977,-0.044898513704538345,0.3294905554906215,0.4344520900295218,0.007575274910777807,0.0016430375876370818,0.0,0.0,0.004305838420900734,0.0,0,3,137
narrow,hospital waiting times,501,750,250,0.2211552858352661,0.17740435760840773,0.20016279071569443,-0.10305139422416687,0.3384454889536628,0.3818631880713863,0.003753212047740817,0.00032521185651421546,0.0,0.0,0.0008522688204140279,0.0,0,0,127
narrow,hospital waiting times,751,1000,250,0.18291276693344116,0.16852523517608642,0.16758862137794495,0.15527690947055817,0.3215062267303542,0.31971938947818,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
narrow,water quality monitoring,1,10,10,0.6698324680328369,0.6160523533821106,0.6239736676216125,0.5380415916442871,0.9197110961063627,0.9315369101980046,0.29270926117897034,0.20174292474985123,0.1923128068447113,0.12090075016021729,0.689226312612296,0.6570096418204072,10,10,10
narrow,water quality monitoring,11,25,15,0.5890399217605591,0.5268143634001414,0.5199047923088074,0.4972286522388458,0.7864867538405373,0.7761713818317333,0.2725990414619446,0.12351459165414175,0.09008088707923889,0.05669109523296356,0.42197022108781723,0.30774867428660213,15,15,15
narrow,water quality monitoring,26,50,25,0.5267668962478638,0.4805642020702362,0.4705001413822174,0.4479132890701294,0.7174393971697975,0.7024146541656626,0.2010408490896225,0.08450330883264541,0.06806179881095886,0.0264769084751606,0.28869366309861244,0.23252355780210193,25,25,25
narrow,water quality monitoring,51,100,50,0.4675142765045166,0.43541828155517576,0.4402319937944412,0.3715001940727234,0.6500405733300919,0.6572270154167263,0.26034486293792725,0.07279069859534502,0.05458795465528965,0.016234949231147766,0.24867917845222814,0.18649206531908502,50,50,50
narrow,water quality monitoring,101,200,100,0.4351321756839752,0.39069080382585525,0.3929435759782791,0.3232102394104004,0.5832664471658644,0.5866296346193478,0.08663567900657654,0.03344999145716429,0.030949988402426243,0.011268413625657558,0.11427718864252832,0.1057362800130283,100,100,100
narrow,water quality monitoring,201,300,100,0.39154183864593506,0.34974773436784745,0.3541256934404373,0.18578138947486877,0.5221421042712159,0.5286780058309701,0.07765087485313416,0.02814849258866161,0.027900627814233303,0.004117212723940611,0.09616536379916885,0.09531856867751823,97,100,100
narrow,water quality monitoring,301,500,200,0.36091944575309753,0.3081147537380457,0.3168133795261383,0.1369972676038742,0.45998778566664095,0.4729740564182495,0.060105521231889725,0.024363148185657338,0.02109223697334528,0.0,0.08323326732993615,0.07205865946431028,143,178,200
narrow,water quality monitoring,501,750,250,0.32709962129592896,0.2921573302745819,0.3001430630683899,0.18473874032497406,0.43616477883281646,0.4480867640678118,0.04159313812851906,0.011917275838553905,0.011559633538126945,0.0,0.0407136958719846,0.03949186128094209,109,211,238
narrow,water quality monitoring,751,1000,250,0.2989204227924347,0.2707154655456543,0.28351105749607086,0.12777018547058105,0.40415399143115754,0.42325666644479887,0.028559276834130287,0.007538920564111322,0.0030120236333459616,0.0,0.025755661210534173,0.010290154883429974,0,179,221
broad,transport,1,10,10,0.5192409753799438,0.5143468856811524,0.5151124894618988,0.5089771747589111,0.9905745310350164,0.9920489982227922,0.20423564314842224,0.190645495057106,0.1879790723323822,0.17930260300636292,0.6578192345605837,0.6486187855530298,10,10,10
